rank,fitness,team,archetypes,total,base_strength,type_coverage,synergy,entropy_bonus,imbalance_penalty,weakness_penalty,base_fitness
1,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
2,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
3,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
4,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
5,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
6,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
7,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
8,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
9,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
10,0.7239386633195667,"koraidon, groudon, yveltal, miraidon, kyogre, dialga","Generalist, Generalist, Generalist, Speed Sweeper, Balanced All-Rounder, Defensive Pivot",0.7239386633195667,0.8084589823468329,1.0,0.670367135872223,0.0,0.0,0.0,0.7239386633195667
