generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder,archetype_generalist
0,0.3079636047480783,0.4826123772292012,0.06443569132752422,1.6609945217159965,99.33333333333333,253,243,119,187,62,36.0
1,0.3504666086596966,0.4826123772292012,0.05275501683861304,1.7876084139554886,98.0,189,203,142,218,95,53.0
2,0.3867826650385653,0.48490323033241806,0.05351100200956679,1.8074253061372876,98.66666666666667,160,190,146,236,81,87.0
3,0.41747064407155254,0.5000086649779448,0.04792591143386848,1.8512575389723152,94.0,115,172,123,260,79,151.0
4,0.43640925343889353,0.5251739226213624,0.04271351140004231,1.871006913984335,94.66666666666667,92,163,100,268,93,184.0
5,0.455544358188637,0.5283253238260952,0.039269911898497906,1.911074431154115,94.0,71,162,83,269,100,215.0
6,0.467194060573327,0.5373654919976284,0.03518985020838457,1.9019349172772448,92.66666666666667,69,149,65,266,124,227.0
7,0.4800584404921124,0.555639388554476,0.038611170691986565,1.9242005839631422,90.66666666666667,68,146,61,270,142,213.0
8,0.5001398985037052,0.5691410348091848,0.034937130456808685,1.956945778393164,86.66666666666667,67,150,73,271,136,203.0
9,0.5117378723596534,0.5691410348091848,0.035540322033021696,2.0064228061853644,92.0,82,164,73,275,128,178.0
10,0.5212194178967583,0.5691410348091848,0.03407857298304439,2.072043528436433,98.0,104,171,79,259,128,159.0
11,0.5339727046312159,0.5691410348091848,0.027336437413544124,2.1201370978977048,100.0,119,156,87,219,126,193.0
12,0.542281084412612,0.5691410348091848,0.02646698434990993,2.1634921534628755,100.0,89,159,122,222,126,182.0
13,0.5456745704575475,0.5691410348091848,0.03163978692784231,2.1554420284652793,100.0,57,157,125,226,146,189.0
14,0.5537957200319655,0.5691410348091848,0.030624520341837637,2.192969181255076,98.0,17,154,139,282,152,156.0
15,0.5604371578055228,0.5691410348091848,0.0214592104698018,2.2146467090376625,98.66666666666667,5,151,150,304,144,146.0
16,0.5590120965937677,0.5691410348091848,0.02409844542240451,2.221313375704329,98.66666666666667,4,151,145,302,147,151.0
17,0.563596065625512,0.5691410348091848,0.01601069315048083,2.2296575701535812,99.33333333333333,6,151,150,301,149,143.0
18,0.5629249349958624,0.5738777393496082,0.018911368570863563,2.2366183062719034,99.33333333333333,3,151,150,298,146,152.0
19,0.5578354346349096,0.5738777393496082,0.02564163256276224,2.230496334044874,98.0,10,153,152,292,149,144.0
20,0.5619333443993626,0.5738777393496082,0.021089692645763197,2.2260518896004293,97.33333333333333,7,150,153,297,147,146.0
21,0.5611288856187273,0.5738777393496082,0.021639493856864003,2.2216074451559846,98.66666666666667,5,157,171,278,145,144.0
22,0.5654811439709497,0.5738777393496082,0.016875680195372056,2.2410627507163476,100.0,4,155,196,250,149,146.0
23,0.5660428715775807,0.5774546893632946,0.017488397151841147,2.244123736829863,100.0,7,153,238,206,147,149.0
24,0.5689684635621224,0.5774546893632946,0.015052158990330133,2.240223986825055,100.0,16,152,283,164,144,141.0
25,0.5668257165001178,0.5774546893632946,0.020217478816181494,2.238001764602833,99.33333333333333,40,150,294,152,138,126.0
26,0.5668173753853631,0.5774546893632946,0.024540650094832698,2.235779542380611,98.0,82,150,294,156,126,92.0
27,0.566343288966801,0.5849146678173361,0.023320272422406037,2.2263459590520855,99.33333333333333,120,154,293,155,131,47.0
28,0.5684544418278447,0.5849146678173361,0.024165546893104524,2.2107904034965298,100.0,139,154,295,159,143,10.0
29,0.5690322820466622,0.5942597892034577,0.02423863793992791,2.171879792375803,100.0,127,151,287,185,147,3.0
30,0.5727230519681384,0.5942597892034577,0.02178256398032753,2.0985464590424696,99.33333333333333,97,149,292,213,149,
31,0.5771108672390951,0.5942597892034577,0.0202955670983441,1.9679365979073198,99.33333333333333,32,152,284,282,149,1.0
32,0.5782951718525866,0.5942597892034577,0.025047239334470495,1.897577361760151,100.0,7,156,264,323,149,1.0
33,0.5825124633177756,0.5942597892034577,0.02098968045039251,1.8579048338814115,98.0,6,147,223,371,152,1.0
34,0.5811753922904052,0.5962432720658484,0.028926749865425504,1.8071211948915606,98.66666666666667,5,155,173,419,146,2.0
35,0.5823047052186323,0.5962432720658484,0.031280533468513526,1.7917728198603102,99.33333333333333,7,157,150,437,148,1.0
36,0.5826325441490134,0.5962432720658484,0.03105088256394329,1.7867402365125538,98.0,7,159,153,435,146,
37,0.5873326432202569,0.5962432720658484,0.019120644453121383,1.8257377365606309,98.0,9,173,151,412,154,1.0
38,0.5862042213849158,0.5962432720658484,0.02451027445867302,1.8657043338910269,98.66666666666667,10,224,153,365,145,3.0
