rank,fitness,team,archetypes,total,base_strength,type_coverage,synergy,entropy_bonus,imbalance_penalty,weakness_penalty,base_fitness
1,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
2,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
3,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
4,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
5,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
6,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
7,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
8,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
9,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
10,0.7323711133754189,"baxcalibur, groudon, flutter-mane, stakataka, miraidon, mewtwo","Balanced All-Rounder, Generalist, Defensive Pivot, Defensive Wall, Speed Sweeper, Fast Attacker",0.7323711133754189,0.7118701973001039,0.9444444444444444,0.798968377850664,0.15,-0.005555555555555556,-0.1,0.6879266689309744
