pokemon,move,move_class,normalized_weighted_frequency,weighted_frequency,raw_count,unique_team_occurrences
arctozolt,hydro-pump,offense,0.6793549281694707,2.0380647845084123,3,3
arctozolt,ice-beam,offense,0.6793549281694707,2.0380647845084123,3,3
arctozolt,protect,utility,0.6793549281694707,2.0380647845084123,3,3
bastiodon,body-press,offense,0.6540655341615705,4.578458739130994,7,7
bastiodon,earthquake,offense,0.6540655341615705,4.578458739130994,7,7
bastiodon,protect,utility,0.6540655341615705,4.578458739130994,7,7
blissey,protect,utility,0.6593688095591107,6.593688095591107,10,10
blissey,soft-boiled,recovery,0.6593688095591107,6.593688095591107,10,10
blissey,stealth-rock,hazard,0.6593688095591107,6.593688095591107,10,10
eelektross,close-combat,offense,0.6422037939721004,1.2844075879442007,2,2
eelektross,dragon-claw,offense,0.6422037939721004,1.2844075879442007,2,2
eelektross,knock-off,offense,0.6422037939721004,1.2844075879442007,2,2
enamorus-incarnate,moonblast,offense,0.6401609497783866,0.6401609497783866,1,1
enamorus-incarnate,outrage,offense,0.6401609497783866,0.6401609497783866,1,1
enamorus-incarnate,protect,utility,0.6401609497783866,0.6401609497783866,1,1
golisopod,close-combat,offense,0.6487837987178978,3.8927027923073867,6,6
golisopod,dark-pulse,offense,0.6487837987178978,3.8927027923073867,6,6
golisopod,ice-beam,offense,0.6487837987178978,3.8927027923073867,6,6
obstagoon,body-press,offense,0.6593688095591107,6.593688095591107,10,10
obstagoon,close-combat,offense,0.6593688095591107,6.593688095591107,10,10
obstagoon,ice-beam,offense,0.6593688095591107,6.593688095591107,10,10
okidogi,body-press,offense,0.6914105681993898,0.6914105681993898,1,1
okidogi,close-combat,offense,0.6914105681993898,0.6914105681993898,1,1
okidogi,drain-punch,offense,0.6914105681993898,0.6914105681993898,1,1
oricorio-baile,defog,utility,0.6875342033408629,1.3750684066817258,2,2
oricorio-baile,protect,utility,0.6875342033408629,1.3750684066817258,2,2
oricorio-baile,roost,recovery,0.6875342033408629,1.3750684066817258,2,2
raging-bolt,body-press,offense,0.6499642651828201,0.6499642651828201,1,1
raging-bolt,draco-meteor,offense,0.6499642651828201,0.6499642651828201,1,1
raging-bolt,earthquake,offense,0.6499642651828201,0.6499642651828201,1,1
sneasler,close-combat,offense,0.66985824502811,2.00957473508433,3,3
sneasler,protect,utility,0.66985824502811,2.00957473508433,3,3
sneasler,shadow-ball,offense,0.66985824502811,2.00957473508433,3,3
thundurus-incarnate,dark-pulse,offense,0.649718103793963,0.649718103793963,1,1
thundurus-incarnate,defog,utility,0.649718103793963,0.649718103793963,1,1
thundurus-incarnate,psychic,offense,0.649718103793963,0.649718103793963,1,1
thundurus-therian,dark-pulse,offense,0.6493765754766246,0.6493765754766246,1,1
thundurus-therian,defog,utility,0.6493765754766246,0.6493765754766246,1,1
thundurus-therian,psychic,offense,0.6493765754766246,0.6493765754766246,1,1
zapdos,brave-bird,offense,0.6610783893425427,1.3221567786850854,2,2
zapdos,defog,utility,0.6610783893425427,1.3221567786850854,2,2
zapdos,heat-wave,offense,0.6610783893425427,1.3221567786850854,2,2
zygarde-50,draco-meteor,offense,0.6593688095591107,6.593688095591107,10,10
zygarde-50,earthquake,offense,0.6593688095591107,6.593688095591107,10,10
zygarde-50,haze,utility,0.6593688095591107,6.593688095591107,10,10
