pokemon,move,move_class,normalized_weighted_frequency,weighted_frequency,raw_count,unique_team_occurrences
arctozolt,hydro-pump,offense,0.6785304021505069,0.6785304021505069,1,1
arctozolt,ice-beam,offense,0.6785304021505069,0.6785304021505069,1,1
arctozolt,protect,utility,0.6785304021505069,0.6785304021505069,1,1
aurorus,dark-pulse,offense,0.6251684723766138,0.6251684723766138,1,1
aurorus,earthquake,offense,0.6251684723766138,0.6251684723766138,1,1
aurorus,protect,utility,0.6251684723766138,0.6251684723766138,1,1
blissey,protect,utility,0.6785304021505069,0.6785304021505069,1,1
blissey,soft-boiled,recovery,0.6785304021505069,0.6785304021505069,1,1
blissey,stealth-rock,hazard,0.6785304021505069,0.6785304021505069,1,1
camerupt,body-press,offense,0.6315766460624362,1.2631532921248725,2,2
camerupt,earthquake,offense,0.6315766460624362,1.2631532921248725,2,2
camerupt,flare-blitz,offense,0.6315766460624362,1.2631532921248725,2,2
darmanitan-standard,body-press,offense,0.6268917144113014,0.6268917144113014,1,1
darmanitan-standard,earthquake,offense,0.6268917144113014,0.6268917144113014,1,1
darmanitan-standard,taunt,utility,0.6268917144113014,0.6268917144113014,1,1
darmanitan-zen,body-press,offense,0.7079312688897218,3.539656344448609,5,5
darmanitan-zen,earthquake,offense,0.7079312688897218,3.539656344448609,5,5
darmanitan-zen,taunt,utility,0.7079312688897218,3.539656344448609,5,5
diggersby,earthquake,offense,0.6785304021505069,0.6785304021505069,1,1
diggersby,knock-off,offense,0.6785304021505069,0.6785304021505069,1,1
diggersby,protect,utility,0.6785304021505069,0.6785304021505069,1,1
dracozolt,draco-meteor,offense,0.633101055868805,1.8993031676064152,3,3
dracozolt,dragon-claw,offense,0.633101055868805,1.8993031676064152,3,3
dracozolt,earthquake,offense,0.633101055868805,1.8993031676064152,3,3
eelektross,close-combat,offense,0.6525946906931199,0.6525946906931199,1,1
eelektross,dragon-claw,offense,0.6525946906931199,0.6525946906931199,1,1
eelektross,knock-off,offense,0.6525946906931199,0.6525946906931199,1,1
florges,defog,utility,0.6311257825584797,1.8933773476754392,3,3
florges,protect,utility,0.6311257825584797,1.8933773476754392,3,3
florges,toxic,utility,0.6311257825584797,1.8933773476754392,3,3
hydrapple,protect,utility,0.6428675013611026,1.928602504083308,3,3
hydrapple,recover,recovery,0.6428675013611026,1.928602504083308,3,3
kingambit,protect,utility,0.6251684723766138,0.6251684723766138,1,1
kingambit,stealth-rock,hazard,0.6251684723766138,0.6251684723766138,1,1
kingambit,taunt,utility,0.6251684723766138,0.6251684723766138,1,1
latias,defog,utility,0.65910931472607,4.61376520308249,7,7
latias,draco-meteor,offense,0.65910931472607,4.61376520308249,7,7
latias,dragon-claw,offense,0.65910931472607,4.61376520308249,7,7
manaphy,flip-turn,pivot,0.6251684723766138,0.6251684723766138,1,1
manaphy,ice-beam,offense,0.6251684723766138,0.6251684723766138,1,1
manaphy,knock-off,offense,0.6251684723766138,0.6251684723766138,1,1
marshadow,close-combat,offense,0.6581947287519008,5.923752558767107,9,9
marshadow,drain-punch,offense,0.6581947287519008,5.923752558767107,9,9
marshadow,knock-off,offense,0.6581947287519008,5.923752558767107,9,9
meowstic-male,dark-pulse,offense,0.6251684723766138,0.6251684723766138,1,1
meowstic-male,protect,utility,0.6251684723766138,0.6251684723766138,1,1
meowstic-male,psychic,offense,0.6251684723766138,0.6251684723766138,1,1
miraidon,draco-meteor,offense,0.7133452668757837,0.7133452668757837,1,1
miraidon,dragon-claw,offense,0.7133452668757837,0.7133452668757837,1,1
miraidon,overheat,offense,0.7133452668757837,0.7133452668757837,1,1
oinkologne-female,body-press,offense,0.6434688551667047,4.504281986166933,7,7
oinkologne-female,protect,utility,0.6434688551667047,4.504281986166933,7,7
raging-bolt,body-press,offense,0.6939587723854324,2.7758350895417294,4,4
raging-bolt,draco-meteor,offense,0.6939587723854324,2.7758350895417294,4,4
raging-bolt,earthquake,offense,0.6939587723854324,2.7758350895417294,4,4
shuckle,earthquake,offense,0.6794517956275916,8.1534215475311,12,12
shuckle,encore,utility,0.6794517956275916,8.1534215475311,12,12
shuckle,protect,utility,0.6794517956275916,8.1534215475311,12,12
sneasler,close-combat,offense,0.6251684723766138,0.6251684723766138,1,1
sneasler,protect,utility,0.6251684723766138,0.6251684723766138,1,1
sneasler,shadow-ball,offense,0.6251684723766138,0.6251684723766138,1,1
stakataka,body-press,offense,0.6315766460624362,1.2631532921248725,2,2
stakataka,earthquake,offense,0.6315766460624362,1.2631532921248725,2,2
stakataka,protect,utility,0.6315766460624362,1.2631532921248725,2,2
stoutland,protect,utility,0.7056270752230885,4.2337624513385315,6,6
stoutland,shadow-ball,offense,0.7056270752230885,4.2337624513385315,6,6
stoutland,surf,offense,0.7056270752230885,4.2337624513385315,6,6
urshifu-single-strike,body-press,offense,0.6948450415560655,2.779380166224262,4,4
urshifu-single-strike,close-combat,offense,0.6948450415560655,2.779380166224262,4,4
urshifu-single-strike,dark-pulse,offense,0.6948450415560655,2.779380166224262,4,4
victreebel,encore,utility,0.7022949408209597,4.916064585746717,7,7
victreebel,giga-drain,offense,0.7022949408209597,4.916064585746717,7,7
victreebel,knock-off,offense,0.7022949408209597,4.916064585746717,7,7
xurkitree,protect,utility,0.6431902790479107,0.6431902790479107,1,1
xurkitree,thunder-wave,utility,0.6431902790479107,0.6431902790479107,1,1
xurkitree,thunderbolt,offense,0.6431902790479107,0.6431902790479107,1,1
zekrom,body-press,offense,0.7134421146646022,1.4268842293292043,2,2
zekrom,defog,utility,0.7134421146646022,1.4268842293292043,2,2
zekrom,dragon-claw,offense,0.7134421146646022,1.4268842293292043,2,2
zeraora,close-combat,offense,0.6251684723766138,0.6251684723766138,1,1
zeraora,drain-punch,offense,0.6251684723766138,0.6251684723766138,1,1
zeraora,knock-off,offense,0.6251684723766138,0.6251684723766138,1,1
