name,role_prior,archetype,allowed_move_count,canonical_move_count,canonical_moves,fetch_status
okidogi,breaker,Physical Attacker,8,4,close-combat;knock-off;body-press;drain-punch,ok
blissey,bulky_pivot,Balanced All-Rounder,5,4,stealth-rock;toxic;protect;soft-boiled,ok
giratina-origin,bulky_pivot,Balanced All-Rounder,5,4,defog;toxic;protect;thunder-wave,ok
oricorio-baile,bulky_wincon,Defensive Tank,5,4,roost;toxic;defog;protect,ok
shuckle,defensive_wall,Defensive Tank,6,4,toxic;protect;earthquake;encore,ok
tapu-fini,defensive_wall,Defensive Tank,11,4,haze;toxic;protect;defog,ok
darmanitan-zen,fast_pivot,Fast Attacker,12,4,u-turn;taunt;body-press;earthquake,ok
lugia,fast_pivot,Fast Attacker,14,4,thunder-wave;brave-bird;defog;earthquake,ok
zygarde-50,fast_pivot,Fast Attacker,6,4,draco-meteor;earthquake;haze;outrage,ok
arceus,mixed_balanced,Generalist,25,4,earthquake;ice-beam;thunderbolt;recover,ok
obstagoon,mixed_balanced,Generalist,9,4,ice-beam;thunderbolt;body-press;close-combat,ok
stoutland,mixed_balanced,Generalist,6,4,thunderbolt;protect;shadow-ball;surf,ok
arctozolt,physical_sweeper,Speed Sweeper,7,4,hydro-pump;ice-beam;protect;surf,ok
urshifu-single-strike,physical_sweeper,Physical Attacker,8,4,wicked-blow;close-combat;body-press;dark-pulse,ok
victreebel,physical_sweeper,Balanced All-Rounder,5,4,knock-off;encore;giga-drain;protect,ok
zekrom,physical_sweeper,Speed Sweeper,13,4,dragon-claw;outrage;body-press;defog,ok
miraidon,special_sweeper,Speed Sweeper,10,4,draco-meteor;overheat;thunderbolt;dragon-claw,ok
