pokemon,move,move_class,normalized_weighted_frequency,weighted_frequency,raw_count,unique_team_occurrences
arceus,earthquake,offense,0.7394672727271693,0.7394672727271693,1,1
arceus,ice-beam,offense,0.7394672727271693,0.7394672727271693,1,1
arceus,recover,recovery,0.7394672727271693,0.7394672727271693,1,1
arctozolt,hydro-pump,offense,0.6914105681993898,0.6914105681993898,1,1
arctozolt,ice-beam,offense,0.6914105681993898,0.6914105681993898,1,1
arctozolt,protect,utility,0.6914105681993898,0.6914105681993898,1,1
blissey,protect,utility,0.6914105681993898,0.6914105681993898,1,1
blissey,soft-boiled,recovery,0.6914105681993898,0.6914105681993898,1,1
blissey,stealth-rock,hazard,0.6914105681993898,0.6914105681993898,1,1
darmanitan-zen,body-press,offense,0.7134421146646022,0.7134421146646022,1,1
darmanitan-zen,earthquake,offense,0.7134421146646022,0.7134421146646022,1,1
darmanitan-zen,taunt,utility,0.7134421146646022,0.7134421146646022,1,1
giratina-origin,defog,utility,0.7394672727271693,0.7394672727271693,1,1
giratina-origin,protect,utility,0.7394672727271693,0.7394672727271693,1,1
giratina-origin,thunder-wave,utility,0.7394672727271693,0.7394672727271693,1,1
lugia,brave-bird,offense,0.7394672727271693,0.7394672727271693,1,1
lugia,defog,utility,0.7394672727271693,0.7394672727271693,1,1
lugia,earthquake,offense,0.7394672727271693,0.7394672727271693,1,1
miraidon,draco-meteor,offense,0.7394672727271693,0.7394672727271693,1,1
miraidon,dragon-claw,offense,0.7394672727271693,0.7394672727271693,1,1
miraidon,overheat,offense,0.7394672727271693,0.7394672727271693,1,1
obstagoon,body-press,offense,0.6914105681993898,0.6914105681993898,1,1
obstagoon,close-combat,offense,0.6914105681993898,0.6914105681993898,1,1
obstagoon,ice-beam,offense,0.6914105681993898,0.6914105681993898,1,1
okidogi,body-press,offense,0.6914105681993898,0.6914105681993898,1,1
okidogi,close-combat,offense,0.6914105681993898,0.6914105681993898,1,1
okidogi,drain-punch,offense,0.6914105681993898,0.6914105681993898,1,1
oricorio-baile,defog,utility,0.6914105681993898,0.6914105681993898,1,1
oricorio-baile,protect,utility,0.6914105681993898,0.6914105681993898,1,1
oricorio-baile,roost,recovery,0.6914105681993898,0.6914105681993898,1,1
shuckle,earthquake,offense,0.7134421146646022,0.7134421146646022,1,1
shuckle,encore,utility,0.7134421146646022,0.7134421146646022,1,1
shuckle,protect,utility,0.7134421146646022,0.7134421146646022,1,1
stoutland,protect,utility,0.7134421146646022,0.7134421146646022,1,1
stoutland,shadow-ball,offense,0.7134421146646022,0.7134421146646022,1,1
stoutland,surf,offense,0.7134421146646022,0.7134421146646022,1,1
tapu-fini,defog,utility,0.7394672727271693,0.7394672727271693,1,1
tapu-fini,haze,utility,0.7394672727271693,0.7394672727271693,1,1
tapu-fini,protect,utility,0.7394672727271693,0.7394672727271693,1,1
urshifu-single-strike,body-press,offense,0.7264546936958858,1.4529093873917716,2,2
urshifu-single-strike,close-combat,offense,0.7264546936958858,1.4529093873917716,2,2
urshifu-single-strike,dark-pulse,offense,0.7264546936958858,1.4529093873917716,2,2
victreebel,encore,utility,0.7134421146646022,0.7134421146646022,1,1
victreebel,giga-drain,offense,0.7134421146646022,0.7134421146646022,1,1
victreebel,knock-off,offense,0.7134421146646022,0.7134421146646022,1,1
zekrom,body-press,offense,0.7134421146646022,0.7134421146646022,1,1
zekrom,defog,utility,0.7134421146646022,0.7134421146646022,1,1
zekrom,dragon-claw,offense,0.7134421146646022,0.7134421146646022,1,1
zygarde-50,draco-meteor,offense,0.6914105681993898,0.6914105681993898,1,1
zygarde-50,earthquake,offense,0.6914105681993898,0.6914105681993898,1,1
zygarde-50,haze,utility,0.6914105681993898,0.6914105681993898,1,1
