pokemon,archetype,move,move_class,weighted_frequency,raw_count,unique_team_occurrences,normalized_weighted_frequency
arceus,Generalist,earthquake,offense,0.7394672727271693,1,1,0.7394672727271693
arceus,Generalist,ice-beam,offense,0.7394672727271693,1,1,0.7394672727271693
arceus,Generalist,recover,recovery,0.7394672727271693,1,1,0.7394672727271693
arceus,Generalist,thunderbolt,offense,0.7394672727271693,1,1,0.7394672727271693
arctozolt,Speed Sweeper,hydro-pump,offense,0.6914105681993898,1,1,0.6914105681993898
arctozolt,Speed Sweeper,ice-beam,offense,0.6914105681993898,1,1,0.6914105681993898
arctozolt,Speed Sweeper,protect,utility,0.6914105681993898,1,1,0.6914105681993898
arctozolt,Speed Sweeper,surf,offense,0.6914105681993898,1,1,0.6914105681993898
blissey,Balanced All-Rounder,protect,utility,0.6914105681993898,1,1,0.6914105681993898
blissey,Balanced All-Rounder,soft-boiled,recovery,0.6914105681993898,1,1,0.6914105681993898
blissey,Balanced All-Rounder,stealth-rock,hazard,0.6914105681993898,1,1,0.6914105681993898
blissey,Balanced All-Rounder,toxic,utility,0.6914105681993898,1,1,0.6914105681993898
darmanitan-zen,Fast Attacker,body-press,offense,0.7134421146646022,1,1,0.7134421146646022
darmanitan-zen,Fast Attacker,earthquake,offense,0.7134421146646022,1,1,0.7134421146646022
darmanitan-zen,Fast Attacker,taunt,utility,0.7134421146646022,1,1,0.7134421146646022
darmanitan-zen,Fast Attacker,u-turn,pivot,0.7134421146646022,1,1,0.7134421146646022
giratina-origin,Balanced All-Rounder,defog,utility,0.7394672727271693,1,1,0.7394672727271693
giratina-origin,Balanced All-Rounder,protect,utility,0.7394672727271693,1,1,0.7394672727271693
giratina-origin,Balanced All-Rounder,thunder-wave,utility,0.7394672727271693,1,1,0.7394672727271693
giratina-origin,Balanced All-Rounder,toxic,utility,0.7394672727271693,1,1,0.7394672727271693
lugia,Fast Attacker,brave-bird,offense,0.7394672727271693,1,1,0.7394672727271693
lugia,Fast Attacker,defog,utility,0.7394672727271693,1,1,0.7394672727271693
lugia,Fast Attacker,earthquake,offense,0.7394672727271693,1,1,0.7394672727271693
lugia,Fast Attacker,thunder-wave,utility,0.7394672727271693,1,1,0.7394672727271693
miraidon,Speed Sweeper,draco-meteor,offense,0.7394672727271693,1,1,0.7394672727271693
miraidon,Speed Sweeper,dragon-claw,offense,0.7394672727271693,1,1,0.7394672727271693
miraidon,Speed Sweeper,overheat,offense,0.7394672727271693,1,1,0.7394672727271693
miraidon,Speed Sweeper,thunderbolt,offense,0.7394672727271693,1,1,0.7394672727271693
obstagoon,Generalist,body-press,offense,0.6914105681993898,1,1,0.6914105681993898
obstagoon,Generalist,close-combat,offense,0.6914105681993898,1,1,0.6914105681993898
obstagoon,Generalist,ice-beam,offense,0.6914105681993898,1,1,0.6914105681993898
obstagoon,Generalist,thunderbolt,offense,0.6914105681993898,1,1,0.6914105681993898
okidogi,Physical Attacker,body-press,offense,0.6914105681993898,1,1,0.6914105681993898
okidogi,Physical Attacker,close-combat,offense,0.6914105681993898,1,1,0.6914105681993898
okidogi,Physical Attacker,drain-punch,offense,0.6914105681993898,1,1,0.6914105681993898
okidogi,Physical Attacker,knock-off,offense,0.6914105681993898,1,1,0.6914105681993898
oricorio-baile,Defensive Tank,defog,utility,0.6914105681993898,1,1,0.6914105681993898
oricorio-baile,Defensive Tank,protect,utility,0.6914105681993898,1,1,0.6914105681993898
oricorio-baile,Defensive Tank,roost,recovery,0.6914105681993898,1,1,0.6914105681993898
oricorio-baile,Defensive Tank,toxic,utility,0.6914105681993898,1,1,0.6914105681993898
