pokemon,move,move_class,normalized_weighted_frequency,weighted_frequency,raw_count,unique_team_occurrences
arboliva,encore,utility,0.664581234292299,0.664581234292299,1,1
arboliva,protect,utility,0.664581234292299,0.664581234292299,1,1
arceus,earthquake,offense,0.7394672727271693,0.7394672727271693,1,1
arceus,ice-beam,offense,0.7394672727271693,0.7394672727271693,1,1
arceus,recover,recovery,0.7394672727271693,0.7394672727271693,1,1
arctozolt,hydro-pump,offense,0.6879133379701649,6.879133379701648,10,10
arctozolt,ice-beam,offense,0.6879133379701649,6.879133379701648,10,10
arctozolt,protect,utility,0.6879133379701649,6.879133379701648,10,10
bellibolt,protect,utility,0.6541212258552054,1.3082424517104108,2,2
bellibolt,thunder-wave,utility,0.6541212258552054,1.3082424517104108,2,2
bellibolt,thunderbolt,offense,0.6541212258552054,1.3082424517104108,2,2
blissey,protect,utility,0.6817387020884368,7.4991257229728046,11,11
blissey,soft-boiled,recovery,0.6817387020884368,7.4991257229728046,11,11
blissey,stealth-rock,hazard,0.6817387020884368,7.4991257229728046,11,11
bouffalant,close-combat,offense,0.7063148558290762,1.4126297116581523,2,2
bouffalant,earthquake,offense,0.7063148558290762,1.4126297116581523,2,2
bouffalant,outrage,offense,0.7063148558290762,1.4126297116581523,2,2
darmanitan-zen,body-press,offense,0.6788535331271968,4.751974731890377,7,7
darmanitan-zen,earthquake,offense,0.6788535331271968,4.751974731890377,7,7
darmanitan-zen,taunt,utility,0.6788535331271968,4.751974731890377,7,7
diancie,body-press,offense,0.6819026521844932,0.6819026521844932,1,1
diancie,encore,utility,0.6819026521844932,0.6819026521844932,1,1
diancie,protect,utility,0.6819026521844932,0.6819026521844932,1,1
diggersby,earthquake,offense,0.6282159481757872,0.6282159481757872,1,1
diggersby,knock-off,offense,0.6282159481757872,0.6282159481757872,1,1
diggersby,protect,utility,0.6282159481757872,0.6282159481757872,1,1
dragapult,draco-meteor,offense,0.6508840214046646,1.3017680428093292,2,2
dragapult,dragon-claw,offense,0.6508840214046646,1.3017680428093292,2,2
dragapult,hydro-pump,offense,0.6508840214046646,1.3017680428093292,2,2
enamorus-therian,moonblast,offense,0.6282159481757872,0.6282159481757872,1,1
enamorus-therian,outrage,offense,0.6282159481757872,0.6282159481757872,1,1
enamorus-therian,protect,utility,0.6282159481757872,0.6282159481757872,1,1
