pokemon,archetype,move,move_class,weighted_frequency,raw_count,unique_team_occurrences,normalized_weighted_frequency
arboliva,Balanced All-Rounder,encore,utility,0.664581234292299,1,1,0.664581234292299
arboliva,Balanced All-Rounder,protect,utility,0.664581234292299,1,1,0.664581234292299
arceus,Generalist,earthquake,offense,0.7394672727271693,1,1,0.7394672727271693
arceus,Generalist,ice-beam,offense,0.7394672727271693,1,1,0.7394672727271693
arceus,Generalist,recover,recovery,0.7394672727271693,1,1,0.7394672727271693
arceus,Generalist,thunderbolt,offense,0.7394672727271693,1,1,0.7394672727271693
arctozolt,Speed Sweeper,hydro-pump,offense,6.879133379701648,10,10,0.6879133379701649
arctozolt,Speed Sweeper,ice-beam,offense,6.879133379701648,10,10,0.6879133379701649
arctozolt,Speed Sweeper,protect,utility,6.879133379701648,10,10,0.6879133379701649
arctozolt,Speed Sweeper,surf,offense,6.879133379701648,10,10,0.6879133379701649
bellibolt,Speed Sweeper,protect,utility,1.3082424517104108,2,2,0.6541212258552054
bellibolt,Speed Sweeper,thunder-wave,utility,1.3082424517104108,2,2,0.6541212258552054
bellibolt,Speed Sweeper,thunderbolt,offense,1.3082424517104108,2,2,0.6541212258552054
bellibolt,Speed Sweeper,toxic,utility,1.3082424517104108,2,2,0.6541212258552054
blissey,Balanced All-Rounder,protect,utility,7.4991257229728046,11,11,0.6817387020884368
blissey,Balanced All-Rounder,soft-boiled,recovery,7.4991257229728046,11,11,0.6817387020884368
blissey,Balanced All-Rounder,stealth-rock,hazard,7.4991257229728046,11,11,0.6817387020884368
blissey,Balanced All-Rounder,toxic,utility,7.4991257229728046,11,11,0.6817387020884368
bouffalant,Generalist,close-combat,offense,1.4126297116581523,2,2,0.7063148558290762
bouffalant,Generalist,earthquake,offense,1.4126297116581523,2,2,0.7063148558290762
bouffalant,Generalist,outrage,offense,1.4126297116581523,2,2,0.7063148558290762
bouffalant,Generalist,protect,utility,1.4126297116581523,2,2,0.7063148558290762
darmanitan-zen,Fast Attacker,body-press,offense,4.751974731890377,7,7,0.6788535331271968
