name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,offensive_index,defensive_index,speed_percentile,physical_special_bias,physical_bulk,special_bulk,bulk_bias,offense_to_bulk_ratio,speed_to_bulk_ratio,special_bulk_percentile,physical_bulk_percentile,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy
abomasnow,grass,ice,90,92,75,92,85,60,184,205.0,0.2775700934579439,0.0,6750,7650,0.0625,0.8975609712314099,0.2926829254015467,0.6476635514018692,0.5009345794392523,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0
absol,dark,,65,130,60,75,60,75,205,152.5,0.4616822429906542,0.2682926829268293,3900,3900,0.0,1.3442622862671325,0.4918032754635851,0.07663551401869159,0.09626168224299066,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.5
accelgor,bug,,80,70,40,100,60,145,170,140.0,0.9925233644859813,-0.17647058823529413,3200,4800,0.2,1.214285705612245,1.0357142783163267,0.205607476635514,0.04953271028037383,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,0.5,0.5
aerodactyl,rock,flying,80,105,65,60,75,130,165,180.0,0.9663551401869159,0.2727272727272727,5200,6000,0.07142857142857142,0.9166666615740741,0.7222222182098765,0.39158878504672895,0.27102803738317754,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0
aggron,steel,rock,70,110,180,60,60,50,170,275.0,0.19065420560747665,0.29411764705882354,12600,4200,-0.5,0.6181818159338843,0.1818181811570248,0.1205607476635514,0.9476635514018692,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0
alakazam,psychic,,55,50,45,135,95,120,185,167.5,0.9271028037383178,-0.4594594594594595,2475,5225,0.35714285714285715,1.1044776053464023,0.7164179061706394,0.27289719626168224,0.020560747663551402,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
alcremie,fairy,,65,60,75,110,121,64,170,228.5,0.3037383177570093,-0.29411764705882354,4875,7865,0.23469387755102042,0.7439824912735996,0.2800875261265316,0.6785046728971963,0.22897196261682243,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0
alomomola,water,,165,75,80,40,45,65,115,207.5,0.32897196261682243,0.30434782608695654,13200,7425,-0.28,0.5542168647989548,0.3132530105385397,0.608411214953271,0.9626168224299065,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0
altaria,dragon,flying,75,70,90,70,105,80,140,232.5,0.5214953271028038,0.0,6750,7875,0.07692307692307693,0.6021505350445139,0.3440860200254365,0.6822429906542056,0.5009345794392523,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0
ambipom,normal,,75,100,66,60,66,115,160,169.5,0.9009345794392524,0.25,4950,4950,0.0,0.943952796790839,0.6784660726934155,0.23925233644859814,0.2485981308411215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
amoonguss,grass,poison,114,85,70,85,80,30,170,207.0,0.044859813084112146,0.0,7980,9120,0.06666666666666667,0.8212560346799226,0.14492753553175103,0.8149532710280374,0.6616822429906543,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,2.0
ampharos,electric,,90,75,85,115,90,55,190,220.0,0.2308411214953271,-0.21052631578947367,7650,8100,0.02857142857142857,0.8636363597107438,0.24999999886363636,0.7149532710280374,0.6345794392523364,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
annihilape,fighting,ghost,110,115,80,50,90,90,165,225.0,0.6429906542056075,0.3939393939393939,8800,9900,0.058823529411764705,0.7333333300740741,0.3999999982222222,0.8663551401869158,0.7551401869158878,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.5
appletun,grass,dragon,110,85,80,100,80,30,185,215.0,0.044859813084112146,-0.08108108108108109,8800,8800,0.0,0.8604651122769065,0.13953488307193077,0.7728971962616823,0.7551401869158878,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0
araquanid,water,bug,68,70,92,50,132,42,120,258.0,0.11869158878504672,0.16666666666666666,6256,8976,0.17857142857142858,0.4651162772669912,0.16279069704344692,0.7850467289719626,0.41682242990654206,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,0.5,2.0,1.0,0.5
arbok,poison,,60,95,69,65,79,80,160,178.0,0.5214953271028038,0.1875,4140,4740,0.06756756756756757,0.8988763994445146,0.4494381997222573,0.19345794392523363,0.1252336448598131,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0
arboliva,grass,normal,78,69,90,125,109,39,194,238.0,0.09439252336448598,-0.28865979381443296,7020,8502,0.09547738693467336,0.8151260469952687,0.1638655455299767,0.7514018691588785,0.5327102803738317,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.25,1.0
arcanine,fire,,90,110,80,100,80,95,210,205.0,0.702803738317757,0.047619047619047616,7200,7200,0.0,1.0243902389054136,0.4634146318857823,0.591588785046729,0.5663551401869159,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,1.0
