name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,offensive_index,defensive_index,speed_percentile,physical_special_bias,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy,Offense_Bias,Defense_Lean,Bulk_Physical,Bulk_Special,Sweep_Index,Num_Resistances,Num_Weaknesses,Type_Synergy,Pivot_Potential,Wall_Potential,Stat_Balance
abomasnow,grass,ice,90,92,75,92,85,60,184,205.0,0.2775700934579439,0.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0,-0.05581910805993167,0.2552696916214542,0.0,0.41858090862685043,-0.48318681626022797,0.3333333333333333,-0.8,0.7878784868163021,-0.399548094808796,0.40359060639337513,-0.5106685234442954
absol,dark,,65,130,60,75,60,75,205,152.5,0.4616822429906542,0.2682926829268293,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.5,0.6854858633743754,-0.29928171077935783,-0.7625418060200669,-0.4504849412965799,-0.3247557954913358,0.0,-0.8,0.5656562381390683,-0.24358374510721326,-0.19912552010397036,0.18238161551582002
accelgor,bug,,80,70,40,100,60,145,170,140.0,0.9925233644859812,-0.1764705882352941,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,0.5,0.5,-0.5434154259042802,-0.94519599169768,-0.9498327759197325,0.34711587544665645,1.615806742313518,1.0,-0.4,0.721211974435302,0.6981706969154047,-0.9202188214670708,1.7782207182225762
aerodactyl,rock,flying,80,105,65,60,75,130,165,180.0,0.966355140186916,0.2727272727272727,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0,0.6977388339248154,-0.6689826456605684,-0.41471571906354515,-0.46962736089841756,1.356597401814191,0.0,0.4,-0.4713804367581638,0.4581245934565043,-0.8503511016633254,0.18238161551582002
aggron,steel,rock,70,110,180,60,60,50,170,275.0,0.1906542056074766,0.2941176470588235,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0,0.7568414183828964,3.1512603509768606,1.565217391304348,-0.622766717713119,-0.6105529308680896,0.3333333333333333,0.4,-0.21212119889807587,-0.31770304351299233,1.3914103506986775,1.750863495820394
alakazam,psychic,,55,50,45,135,95,120,185,167.5,0.9271028037383178,-0.4594594594594595,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-1.3253266356078781,-0.8230247044745215,-1.1438127090301002,0.20035732516590096,0.8019028516432505,-0.6666666666666666,-0.8,-0.21212154889792856,1.0879959830649668,-0.8728679515207689,1.0942896748567574
alcremie,fairy,,65,60,75,110,121,64,170,228.5,0.3037383177570093,-0.2941176470588235,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,-0.8684796369760743,0.15899340741621495,-0.5016722408026756,0.13016845329249618,-0.28245782113606327,-0.6666666666666666,-0.4,-0.6787879722313622,-0.2574490180191489,0.14245559596610902,0.018238161551582123
alomomola,water,,165,75,80,40,45,65,115,207.5,0.3289719626168224,0.3043478260869565,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.78510786138052,0.2315709155451554,1.725752508361204,-0.010209290454313425,0.4695117097407681,-0.3333333333333333,0.0,-0.545454560802827,-0.5409168197742755,0.9770902386685343,2.3253655602104946
altaria,dragon,flying,75,70,90,70,105,80,140,232.5,0.5214953271028038,0.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0,-0.055819112779419956,0.10122764026274154,0.0,-0.3547728432873915,0.49425712964562785,-0.3333333333333333,0.0,-0.545454560802827,0.044734049230277774,-0.03027433280609311,-0.5471448426392819
ambipom,normal,,75,100,66,60,66,115,160,169.5,0.9009345794392524,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.6349423379611911,-0.5778969074205805,-0.4816053511705686,-0.5461970393057682,1.0811874776349104,-0.6666666666666666,-1.6,2.121209867769955,0.3704937863036209,-0.7566769763950876,-0.09119080775790989
amoonguss,grass,poison,114,85,70,85,80,30,170,207.0,0.0448598130841121,0.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,2.0,-0.05581910929658926,1.5903008055364363,0.3290969899665552,0.7784583971413986,-1.07926023048527,1.0,-0.8,1.0841748348468534,-0.8953086307044468,1.0336191176618745,1.9697213782658416
