name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,id,offensive_index,defensive_index,speed_percentile,physical_special_bias,physical_bulk,special_bulk,bulk_bias,offense_to_bulk_ratio,speed_to_bulk_ratio,special_bulk_percentile,physical_bulk_percentile,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy,bst,cluster,archetype
abomasnow,grass,ice,90,92,75,92,85,60,,184,205.0,0.2532942898975109,0.0,6750,7650,0.0625,0.8975609712314099,0.2926829254015467,0.637628111273792,0.4978038067349927,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0,494,5,Balanced All-Rounder
absol,dark,,65,130,60,75,60,75,,205,152.5,0.4150805270863836,0.2682926829268293,3900,3900,0.0,1.3442622862671323,0.4918032754635851,0.0702781844802342,0.0937042459736456,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.5,465,3,Physical Attacker
accelgor,bug,,80,70,40,100,60,145,,170,140.0,0.985358711566618,-0.1764705882352941,3200,4800,0.2,1.214285705612245,1.035714278316327,0.1881405563689604,0.0446559297218155,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,0.5,0.5,495,3,Fast Attacker
aerodactyl,rock,flying,80,105,65,60,75,130,,165,180.0,0.9487554904831624,0.2727272727272727,5200,6000,0.0714285714285714,0.916666661574074,0.7222222182098765,0.4004392386530014,0.260614934114202,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0,515,4,Physical Attacker
aggron,steel,rock,70,110,180,60,60,50,,170,275.0,0.1756954612005856,0.2941176470588235,12600,4200,-0.5,0.6181818159338843,0.1818181811570248,0.109809663250366,0.9414348462664714,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0,530,5,Defensive Tank
alakazam,psychic,,55,50,45,135,95,120,,185,167.5,0.9055636896046853,-0.4594594594594595,2475,5225,0.3571428571428571,1.1044776053464025,0.7164179061706394,0.2620790629575402,0.0190336749633967,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,500,0,Fast Attacker
alcremie,fairy,,65,60,75,110,121,64,,170,228.5,0.2774524158125915,-0.2941176470588235,4875,7865,0.2346938775510204,0.7439824912735996,0.2800875261265316,0.6691068814055637,0.2174231332357247,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,495,2,Defensive Tank
alomomola,water,,165,75,80,40,45,65,,115,207.5,0.3008784773060029,0.3043478260869565,13200,7425,-0.28,0.5542168647989548,0.3132530105385397,0.6039531478770132,0.9575402635431918,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,470,10,Balanced All-Rounder
altaria,dragon,flying,75,70,90,70,105,80,,140,232.5,0.4721815519765739,0.0,6750,7875,0.0769230769230769,0.6021505350445139,0.3440860200254365,0.6720351390922401,0.4978038067349927,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0,490,4,Fast Attacker
ambipom,normal,,75,100,66,60,66,115,,160,169.5,0.8806734992679356,0.25,4950,4950,0.0,0.943952796790839,0.6784660726934155,0.2269399707174231,0.2386530014641288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,482,3,Physical Attacker
amoonguss,grass,poison,114,85,70,85,80,30,,170,207.0,0.0373352855051244,0.0,7980,9120,0.0666666666666666,0.8212560346799226,0.144927535531751,0.7950219619326501,0.6500732064421669,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,2.0,464,8,Balanced All-Rounder
ampharos,electric,,90,75,85,115,90,55,,190,220.0,0.212298682284041,-0.2105263157894736,7650,8100,0.0285714285714285,0.8636363597107438,0.2499999988636363,0.6998535871156661,0.6134699853587116,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,510,8,Balanced All-Rounder
annihilape,fighting,ghost,110,115,80,50,90,90,,165,225.0,0.5966325036603221,0.3939393939393939,8800,9900,0.0588235294117647,0.7333333300740741,0.3999999982222222,0.8396778916544656,0.7437774524158126,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.5,535,3,Physical Attacker
appletun,grass,dragon,110,85,80,100,80,30,,185,215.0,0.0373352855051244,-0.081081081081081,8800,8800,0.0,0.8604651122769065,0.1395348830719307,0.7540263543191801,0.7437774524158126,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0,485,8,Balanced All-Rounder
araquanid,water,bug,68,70,92,50,132,42,,120,258.0,0.1054172767203514,0.1666666666666666,6256,8976,0.1785714285714285,0.4651162772669912,0.1627906970434469,0.7650073206442167,0.4165446559297218,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,0.5,2.0,1.0,0.5,454,3,Defensive Tank
arbok,poison,,60,95,69,65,79,80,,160,178.0,0.4721815519765739,0.1875,4140,4740,0.0675675675675675,0.8988763994445146,0.4494381997222573,0.1749633967789165,0.1215226939970717,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,448,3,Physical Attacker
arboliva,grass,normal,78,69,90,125,109,39,,194,238.0,0.0856515373352855,-0.2886597938144329,7020,8502,0.0954773869346733,0.8151260469952687,0.1638655455299767,0.7349926793557833,0.5256222547584187,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.25,1.0,510,8,Balanced All-Rounder
arcanine,fire,,90,110,80,100,80,95,,210,205.0,0.6654465592972182,0.0476190476190476,7200,7200,0.0,1.0243902389054136,0.4634146318857823,0.5849194729136163,0.5541727672035139,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,1.0,555,6,Balanced All-Rounder
arceus,normal,,120,120,120,120,120,120,,240,300.0,0.9055636896046853,0.0,14400,14400,0.0,0.7999999973333334,0.3999999986666667,0.9816983894582724,0.9707174231332356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,720,2,Fast Attacker
archaludon,steel,dragon,90,105,130,125,65,85,,230,240.0,0.5314787701317716,-0.0869565217391304,11700,5850,-0.3333333333333333,0.9583333293402778,0.3541666651909722,0.3755490483162518,0.9194729136163984,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,2.0,600,2,Balanced All-Rounder
archeops,rock,flying,75,140,65,112,65,110,,252,167.5,0.8448023426061494,0.1111111111111111,4875,4875,0.0,1.5044776029583429,0.6567164139897528,0.205710102489019,0.2174231332357247,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0,567,4,Fast Attacker
arctovish,water,ice,90,90,100,80,90,55,,170,235.0,0.212298682284041,0.0588235294117647,9000,8100,-0.0526315789473684,0.7234042522408329,0.2340425521955636,0.6998535871156661,0.7598828696925329,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,505,5,Balanced All-Rounder
arctozolt,electric,ice,90,100,90,90,80,55,,190,215.0,0.212298682284041,0.0526315789473684,8100,7200,-0.0588235294117647,0.8837209261222283,0.2558139522985397,0.5849194729136163,0.6896046852122987,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,505,3,Balanced All-Rounder
ariados,bug,poison,70,90,70,60,70,40,,150,175.0,0.0951683748169839,0.2,4900,4900,0.0,0.857142852244898,0.2285714272653061,0.2174231332357247,0.2298682284040995,1.0,0.5,1.0,4.0,1.0,1.0,0.5,0.25,0.5,0.5,2.0,1.0,0.5,0.25,1.0,2.0,0.5,1.0,400,3,Balanced All-Rounder
armaldo,rock,bug,75,125,100,70,80,45,,195,217.5,0.1332357247437774,0.282051282051282,7500,6000,-0.1111111111111111,0.8965517200158541,0.2068965507728894,0.4004392386530014,0.5856515373352855,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,2.0,0.25,0.5,495,5,Balanced All-Rounder
armarouge,fire,psychic,85,60,100,125,80,75,,185,222.5,0.4150805270863836,-0.3513513513513513,8500,6800,-0.1111111111111111,0.8314606704204015,0.337078650170433,0.5314787701317716,0.7291361639824304,1.0,0.5,0.5,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,1.0,525,0,Balanced All-Rounder
aromatisse,fairy,,101,72,72,99,89,29,,171,211.5,0.0190336749633967,-0.1578947368421052,7272,8989,0.1055900621118012,0.808510634475127,0.137115838595197,0.767203513909224,0.568081991215227,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,462,2,Defensive Tank
articuno,ice,flying,90,85,100,95,125,85,,180,270.0,0.5314787701317716,-0.0555555555555555,9000,11250,0.1111111111111111,0.6666666641975308,0.314814813648834,0.9231332357247438,0.7598828696925329,1.0,0.5,0.5,4.0,0.5,0.5,2.0,1.0,2.0,2.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0,580,2,Balanced All-Rounder
audino,normal,,103,60,86,60,86,50,,120,223.5,0.1756954612005856,0.0,8858,8858,0.0,0.5369127492755582,0.2237136455314825,0.7584187408491947,0.7481698389458272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,445,3,Balanced All-Rounder
aurorus,rock,ice,123,77,72,99,92,58,,176,225.5,0.2291361639824304,-0.125,8856,11316,0.1219512195121951,0.7804878014169055,0.2572062072851166,0.9267935578330894,0.746705710102489,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,1.0,521,4,Fast Attacker
avalugg,ice,,95,117,184,44,46,28,,161,277.5,0.0161054172767203,0.453416149068323,17480,4370,-0.6,0.5801801780894408,0.100900900537294,0.1273792093704246,0.9904831625183016,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,514,5,Defensive Tank
azelf,psychic,,75,125,70,125,70,115,,250,177.5,0.8806734992679356,0.0,5250,5250,0.0,1.4084506962904186,0.6478873202935925,0.2767203513909224,0.2767203513909224,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,580,0,Fast Attacker
azumarill,water,fairy,100,50,80,60,80,50,,110,210.0,0.1756954612005856,-0.0909090909090909,8000,8000,0.0,0.5238095213151928,0.2380952369614512,0.6852122986822841,0.6559297218155198,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,420,5,Balanced All-Rounder
