generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_defensive_wall,archetype_generalist,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder
0,0.47210265905025456,0.6093700646920528,0.04592049767503321,1.817948278345087,91.33333333333333,151,143.0,160,155.0,155,136
1,0.504686119502941,0.615677085114909,0.03915602133070377,1.853590722827993,88.66666666666667,115,136.0,166,168.0,161,154
2,0.5329050737102343,0.6546932623633606,0.03770096033120176,1.8620745806317707,88.66666666666667,101,129.0,173,169.0,159,169
3,0.5587602686413484,0.6546932623633606,0.03733809170229602,1.9457671501122726,82.66666666666667,80,118.0,217,169.0,127,189
4,0.5767346982124467,0.6546932623633606,0.03526846436309915,1.9486450284075871,82.0,82,111.0,209,200.0,116,182
5,0.5964705805087586,0.6546932623633606,0.02859259909882949,1.9161070145018713,71.33333333333333,69,84.0,217,212.0,152,166
6,0.6092529674019905,0.6554582865342061,0.028348506616901838,1.9377845422844568,74.0,80,65.0,224,208.0,163,160
7,0.6191618539663943,0.6706312441517127,0.0310331928822304,1.9738847922796487,81.33333333333333,101,60.0,207,195.0,197,140
8,0.6341457758229208,0.6760065541863676,0.023479763839309744,2.0306600701055038,84.66666666666667,119,55.0,178,192.0,213,143
9,0.6406340170278658,0.6760065541863676,0.02719426561836413,2.0595924034580677,94.66666666666667,139,60.0,159,164.0,242,136
10,0.6519395639150661,0.6760065541863676,0.020436675988917016,2.0526316673397456,97.33333333333333,146,58.0,151,172.0,281,92
11,0.6591522895604104,0.6795011591686712,0.016189452762471194,2.0460084451367537,98.66666666666667,147,53.0,133,201.0,294,72
12,0.6603339755741909,0.6885316956321025,0.021072377224688646,2.054352639586006,96.66666666666667,147,63.0,136,194.0,299,61
13,0.6656557243329047,0.6885316956321025,0.016358054018784568,2.077914875675482,98.66666666666667,146,83.0,133,179.0,307,52
14,0.6694687934809109,0.6885316956321025,0.017089711782336287,2.1044946534147986,100.0,150,109.0,137,132.0,324,48
15,0.6695435827644465,0.6885316956321025,0.017661818120780434,2.023819625584136,99.33333333333333,147,101.0,147,94.0,356,55
16,0.6725680103812838,0.6885316956321025,0.018884056413044623,1.9411295560555566,99.33333333333333,148,84.0,149,55.0,389,75
17,0.6755829380077962,0.6885316956321025,0.020728601169444253,1.8345831809858446,98.0,147,40.0,159,20.0,425,109
18,0.6774546785205032,0.6885316956321025,0.025358642802414566,1.8028404865077459,98.66666666666667,149,17.0,155,5.0,437,137
19,0.6786767334633452,0.6885316956321025,0.023534878875744472,1.791435305944979,96.66666666666667,147,6.0,156,6.0,440,145
20,0.6783138441735277,0.6885316956321025,0.02516058741363574,1.7931128337275644,98.66666666666667,148,3.0,146,4.0,440,159
21,0.6776926071407225,0.6885316956321025,0.025867625841273015,1.7897577781623932,97.33333333333333,149,1.0,151,4.0,440,155
22,0.6813310529342019,0.6885316956321025,0.02183323852441613,1.8017076531647975,98.0,147,1.0,157,3.0,439,153
23,0.6823797013209087,0.6885316956321025,0.01774153941174038,1.8006182642855235,100.0,152,,155,3.0,437,153
24,0.6795633388445648,0.6885316956321025,0.02184596489750408,1.7820017226164533,96.66666666666667,145,3.0,150,5.0,446,151
25,0.6814538940876167,0.6885316956321025,0.021697134026833112,1.7919800003846156,97.33333333333333,146,2.0,152,4.0,444,152
26,0.6824565845498162,0.6885316956321025,0.018414992076068854,1.789213083722757,96.66666666666667,145,,155,5.0,442,153
27,0.6774112050462823,0.6885316956321025,0.025453615347998757,1.7897577781623935,98.0,147,,153,6.0,440,154
28,0.6779995131641208,0.6885316956321025,0.02509345515575524,1.7900518476140497,96.0,145,2.0,160,3.0,439,151
29,0.6810632869981118,0.6885316956321025,0.019756206510395304,1.8108906115053423,100.0,151,1.0,158,5.0,436,149
30,0.6782553960743327,0.6885316956321025,0.02184510443496449,1.7889624587347763,96.66666666666667,146,2.0,160,6.0,437,149
31,0.6802591328971791,0.6885316956321025,0.02153143437209126,1.7859014726212612,99.33333333333333,150,,157,3.0,440,150
32,0.6805284391603695,0.6997784783673489,0.019760231566618564,1.7931128337275644,96.66666666666667,145,2.0,161,6.0,438,148
33,0.6797084959137419,0.6997784783673489,0.024006054750203305,1.7770125837323725,98.0,147,1.0,158,2.0,442,150
34,0.6832307935941686,0.6997784783673489,0.019605490765295684,1.7986901115149578,99.33333333333333,149,1.0,165,2.0,434,149
35,0.6817566950673475,0.6997784783673489,0.02609477650917852,1.7976441670993593,98.0,151,1.0,174,3.0,421,150
36,0.6852962195175574,0.6997784783673489,0.0217524858740279,1.8280902921738789,97.33333333333333,146,1.0,215,2.0,386,150
37,0.6892370297170658,0.7021796656704578,0.01927778790205767,1.876107014501871,98.0,150,,267,6.0,330,147
38,0.6903317335450228,0.7021796656704578,0.02113948255477654,1.8837427784508562,96.0,145,1.0,297,2.0,304,151
39,0.6927673255241702,0.7021796656704578,0.02146059763919051,1.8804311673493608,98.66666666666667,150,,313,2.0,293,142
40,0.6939746646203053,0.7021796656704578,0.01834645207569263,1.810616625641829,96.0,145,1.0,333,3.0,297,121
41,0.6919524922051655,0.7021796656704578,0.022003019970543228,1.7023492783258565,100.0,151,1.0,374,5.0,289,80
42,0.6935372971268667,0.704147968137746,0.021219901880610216,1.5654436671089755,96.66666666666667,145,2.0,417,4.0,294,38
43,0.6938592181746067,0.704147968137746,0.020671685121149613,1.4753350559497875,96.66666666666667,144,1.0,453,9.0,286,7
44,0.6963203390968142,0.704147968137746,0.018924945160001084,1.5280802503798085,97.33333333333333,145,3.0,450,34.0,263,5
45,0.6962550022677361,0.704147968137746,0.01750948385370198,1.5878296253918278,99.33333333333333,151,1.0,446,54.0,242,6
46,0.6952545481314578,0.704147968137746,0.021683372668421717,1.6955856809377678,99.33333333333333,150,6.0,444,103.0,194,3
47,0.6950855871175726,0.704147968137746,0.019632585141492936,1.7611629587251605,98.0,147,3.0,449,140.0,157,4
48,0.6970861720288511,0.704147968137746,0.018910013604233427,1.7944962920584937,98.66666666666667,151,2.0,441,153.0,150,3
49,0.6974618466865197,0.704147968137746,0.018370623197153407,1.8033851809473829,98.0,148,1.0,443,153.0,148,7
50,0.696326429890566,0.704147968137746,0.019715901903436583,1.7872849309521905,99.33333333333333,153,2.0,447,147.0,145,6
51,0.6971734524727321,0.704147968137746,0.017615417958809866,1.8008688892735047,97.33333333333333,147,1.0,446,148.0,147,11
52,0.6973531875018986,0.704147968137746,0.017909336738299513,1.7630911114957268,97.33333333333333,146,,456,148.0,147,3
53,0.699013280521064,0.704147968137746,0.016220864663456454,1.7769691392686968,100.0,152,,450,149.0,147,2
54,0.694776572840696,0.704147968137746,0.022773922777566808,1.7925681392879278,98.0,147,2.0,444,151.0,148,8
55,0.6968116880421318,0.704147968137746,0.018690383816609757,1.7942022226068381,97.33333333333333,149,2.0,444,152.0,146,7
56,0.6972103733461547,0.704147968137746,0.018218390303170063,1.7677861809281519,98.0,146,2.0,453,150.0,148,1
57,0.6975053051045011,0.704147968137746,0.018133735387336227,1.791729375396635,98.66666666666667,149,1.0,445,149.0,148,8
58,0.6960550680380932,0.704147968137746,0.019622850085905134,1.7764244448290603,98.0,150,1.0,450,148.0,145,6
59,0.6975090849815339,0.704147968137746,0.01845076239999205,1.7928187642759084,100.0,151,3.0,447,148.0,146,5
60,0.6959081328104931,0.704147968137746,0.020683949087075486,1.768374319831464,95.33333333333333,145,1.0,453,147.0,149,5
61,0.6975200018169854,0.704147968137746,0.017617405732457046,1.7972632087203528,98.66666666666667,147,2.0,447,147.0,149,8
62,0.6960400257368451,0.704147968137746,0.01983803456386856,1.7944962920584937,97.33333333333333,147,2.0,445,152.0,147,7
63,0.6963160325317503,0.704147968137746,0.019204385421808218,1.7905965420536862,98.0,147,3.0,447,149.0,147,7
64,0.6989049387238848,0.704147968137746,0.015867182835689216,1.773069389263889,97.33333333333333,146,,452,150.0,150,2
65,0.6955296550852206,0.704147968137746,0.02071705263878358,1.7922740698362718,98.66666666666667,149,1.0,447,147.0,148,8
