rank,fitness,team,archetypes,total,base_strength,type_coverage,synergy,entropy_bonus,imbalance_penalty,weakness_penalty,base_fitness
1,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
2,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
3,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
4,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
5,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
6,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
7,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
8,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
9,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
10,0.6487601334413411,"eternatus, zekrom, volcanion, regigigas, zamazenta, lunala","Defensive Pivot, Speed Sweeper, Balanced All-Rounder, Generalist, Generalist, Fast Attacker",0.6487601334413411,0.7823374870197299,0.9444444444444444,0.6832787020007719,0.0,0.0,-0.05000000000000002,0.6987601334413411
