generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_balanced_all-rounder,archetype_defensive_pivot,archetype_fast_attacker,archetype_generalist
0,0.3939313111573892,0.5609720428881902,0.08564718666537911,1.7794714000305414,94.66666666666667,204,201,122,187,116,70
1,0.4539789851100598,0.6100101809847751,0.06859532541593412,1.972000083972758,96.0,170,157,145,182,137,109
2,0.487779389793771,0.6100101809847751,0.05705614520123894,2.0229040145595634,92.0,151,115,139,195,160,140
3,0.5071870953389744,0.6114543559967722,0.059723588292070855,2.0601370978977047,90.0,153,96,135,186,164,166
4,0.5144976956399204,0.6119086105718416,0.06570437841170589,2.0742657506586557,95.33333333333333,154,109,112,186,166,173
5,0.5371914757169395,0.631589054218715,0.05901729366490982,2.1418146256802904,95.33333333333333,151,117,121,178,152,181
6,0.5615259812441213,0.6682623429675173,0.04790278359450049,2.2029474590232385,96.66666666666667,155,122,127,189,143,164
7,0.5737862539722391,0.6682623429675173,0.05420662381580075,2.243786222914532,96.66666666666667,137,149,151,178,126,159
8,0.5864349902198306,0.690191707736198,0.05032267757164364,2.287141278479703,96.66666666666667,141,149,152,185,114,159
9,0.5969259557374088,0.690191707736198,0.04800616374630011,2.287141278479703,98.66666666666667,149,156,157,183,107,148
10,0.6022149757124678,0.690191707736198,0.05190623066676955,2.224624986805825,98.0,137,159,171,212,76,145
11,0.614477664047147,0.690191707736198,0.0529337818858667,2.172925736791401,98.0,138,159,161,244,48,150
12,0.6274817264029944,0.690191707736198,0.051024341821655286,2.208524736810632,98.66666666666667,148,163,159,250,34,146
13,0.6328443701891098,0.6930324610329933,0.05175549495768993,2.2274353479313587,98.66666666666667,133,172,157,240,50,148
14,0.6483657007204339,0.7166509244929442,0.04024030078046472,2.292718556267096,100.0,153,164,149,228,57,149
15,0.6446457280945151,0.7166509244929442,0.04898883801139969,2.277413625699521,99.33333333333333,149,143,156,229,70,153
16,0.6556878878290979,0.7166509244929442,0.048985611728877845,2.31242448681544,100.0,153,157,152,213,75,150
17,0.6723251186550466,0.7166509244929442,0.03932228396083726,2.398001764602833,100.0,152,145,150,203,98,152
18,0.6797718704160731,0.7166509244929442,0.03771839380763693,2.4602239868250555,100.0,151,150,151,179,123,146
19,0.6822928525328356,0.7166509244929442,0.038929199937567854,2.4982958340544896,100.0,152,151,149,144,153,151
20,0.6738379153145567,0.7166509244929442,0.04838988817272554,2.461901514607641,99.33333333333333,152,150,156,145,145,152
21,0.6660690199961182,0.7166509244929442,0.05215920162587735,2.4313350979361665,100.0,159,147,151,130,160,153
22,0.6695242869354807,0.7166509244929442,0.053773290745594914,2.435779542380611,100.0,155,148,152,142,153,150
23,0.6766167034510642,0.7166509244929442,0.052747397183827816,2.4574570701631973,100.0,160,148,150,145,148,149
24,0.6905690205110537,0.7166509244929442,0.04670390787409498,2.499679292385419,100.0,156,149,152,149,146,148
25,0.7031099900919001,0.7166509244929442,0.0342661782285841,2.5405180562767113,100.0,151,150,152,149,149,149
26,0.7058978611018949,0.7166509244929442,0.03000070425623857,2.551629167387823,100.0,151,151,151,148,152,147
27,0.7089679652823355,0.7166509244929442,0.02413145222546198,2.5582958340544892,100.0,148,156,148,153,147,148
28,0.7027888818820281,0.7166509244929442,0.03192270864188599,2.533851389610045,100.0,152,152,146,150,151,149
29,0.7032787539293213,0.7166509244929442,0.033634980554741144,2.5427402784989335,100.0,151,145,152,152,150,150
30,0.7040798149736102,0.7166509244929442,0.033214092240332865,2.5427402784989335,100.0,153,151,151,150,150,145
31,0.7090184852936243,0.7166509244929442,0.025441283754254723,2.5605180562767114,100.0,152,149,150,153,146,150
32,0.7027295119145136,0.7166509244929442,0.034698092217383424,2.5449625007211556,100.0,151,149,149,151,150,150
33,0.7077189591606958,0.7166509244929442,0.028230070820006278,2.5516291673878224,100.0,152,150,149,152,147,150
34,0.7026540854544664,0.7166509244929442,0.03469718272653688,2.538295834054489,100.0,153,148,147,149,156,147
35,0.7046054777940295,0.7166509244929442,0.030256208222554613,2.5449625007211556,100.0,151,152,147,153,146,151
36,0.701316707031625,0.7166509244929442,0.03586211401173339,2.538295834054489,100.0,151,151,151,147,149,151
